player_id,team_id,player_name,player_shirt_number,player_age,player_height,player_nationality,player_positions,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,Crosses,LongB,ThrB,strengths,weaknesses,player_style,name_lower,RecordID,ClubName,League/Country,BootsName,BootsMaterial,BootsBrand,BootsPack,BootsType,BootsPosition,BootsTopPlayers,PlayerMarketValue
12,1,Diogo Jota,20,28,178,Portugal,"['Attacking Midfielder Centre', 'Attacking Midfielder Left', 'Attacking Midfielder Right', 'Forward']",43,1782,11,4,3,0,1.7,73.2,0.8,1,6.56,0.6,0.2,1.0,0.0,0.2,0.5,0.0,0,0.6,0.7,0.1,0.9,1.4,11.7,0.1,0.4,0.0,"['Finishing', 'Key passes']","['Holding on to the ball', 'Crossing']","['Likes to play long balls', 'Likes to cut inside', 'Likes to tackle', 'Commits fouls often']",diogo jota,1679742361-4062,Liverpool,Premier League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,€55 million
14,1,Caoimhín Kelleher,62,26,188,Ireland,['Goalkeeper'],31,2340,0,0,0,0,0.0,73.3,0.2,2,6.73,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0,0.0,0.2,0.0,0.0,0.0,33.1,0.0,4.0,0.0,"['Penalty saving', 'Saving long shots', 'Shot stopping (Reflexes)', 'Saving close range shots']","['Long passing', 'Catching crosses']",[],caoimhín kelleher,1679742361-4090,Liverpool,Premier League,Copa Sense.1,K-Leather,adidas,Game Data,Control,Midfield,Paulo Dybala,€8 million
15,1,Joe Gomez,2,27,188,England,"['Defender Centre', 'Defender Left', 'Defender Right']",21,865,0,0,3,0,0.3,91.1,1.1,0,6.55,1.1,0.8,0.3,0.6,2.1,0.4,0.6,0,0.2,0.3,0.0,0.4,0.2,46.4,0.1,1.4,0.0,['Passing'],['Crossing'],['Likes to tackle'],joe gomez,1679742361-4084,Liverpool,Premier League,Copa Pure.1,Fusionskin,adidas,Own Your Football,Control,Midfield,Paulo Dybala,€30 million
16,1,Curtis Jones,17,24,185,England,"['Midfielder Centre', 'Midfielder Left']",48,2579,4,6,1,1,1.0,93.6,0.3,1,6.63,1.2,0.3,0.6,0.0,0.2,0.4,0.2,0,0.7,0.7,0.0,1.0,0.8,34.4,0.0,0.6,0.1,"['Passing', 'Finishing', 'Blocking the ball']","['Aerial Duels', 'Discipline']",['Likes to play short passes'],curtis jones,1679742361-4068,Liverpool,Premier League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,€17 million
17,1,Darwin Núñez,9,25,187,Uruguay,"['Attacking Midfielder Centre', 'Attacking Midfielder Left', 'Forward']",64,2345,17,4,11,0,1.6,71.1,0.7,1,6.62,0.8,0.1,0.9,0.0,0.6,0.3,0.0,0,0.5,0.5,0.4,0.9,0.9,9.1,0.0,0.5,0.0,"['Holding on to the ball', 'Key passes', 'Long shots']","['Offside awareness', 'Discipline']","['Counter attack threat', 'Plays the ball off the ground often', 'Commits fouls often']",darwin núñez,1679742361-4067,Liverpool,Premier League,Zoom Mercurial Superfly 9 By You,Vaporsite+,Nike,,Speed,Attack,Cristiano Ronaldo,€70 million
21,1,Harvey Elliott,19,22,170,England,"['Attacking Midfielder Centre', 'Attacking Midfielder Right']",26,548,4,2,4,0,0.9,84.0,0.0,0,6.33,0.3,0.2,0.1,0.0,0.2,0.3,0.1,0,0.4,0.0,0.0,0.2,0.4,15.8,0.1,0.8,0.0,"['Crossing', 'Holding on to the ball', 'Passing', 'Key passes', 'Long shots', 'Through balls']","['Aerial Duels', 'Tackling']","['Likes to play short passes', 'Likes to cut inside', 'Does not dive into tackles']",harvey elliott,1679742361-4076,Liverpool,Premier League,Tekela v4,Knit,New Balance,Rare Force,,,Xavi Simons,€35 million
22,1,Wataru Endo,3,32,178,Japan,['Defensive Midfielder C'],32,664,0,0,1,0,0.1,91.6,0.5,1,6.23,0.9,0.3,0.8,0.0,0.5,0.3,0.1,0,0.1,0.7,0.0,0.3,0.4,17.1,0.0,0.4,0.0,"['Passing', 'Aerial Duels', 'Long shots']",[],"['Indirect set-piece threat', 'Gets fouled often', 'Likes to tackle', 'Commits fouls often']",wataru endo,1679742361-76,VfB Stuttgart,Bundesliga,Future Ultimate,FUZIONFIT360,Puma,Supercharge,Control,,Neymar,€7 million
23,1,Federico Chiesa,7,27,175,Italy,"['Midfielder Centre', 'Midfielder Left', 'Midfielder Right', 'Forward']",20,532,2,1,1,0,1.5,79.9,0.0,1,6.44,0.8,0.3,0.3,0.1,0.1,0.4,0.0,0,0.3,0.7,0.0,0.9,1.1,10.6,0.5,0.1,0.0,"['Through balls', 'Key passes', 'Dribbling', 'Holding on to the ball']",['Aerial Duels'],"['Likes to dribble', 'Likes to shoot from distance', 'Likes to play short passes']",federico chiesa,1679742361-4630,Juventus,Serie A,Zoom Mercurial Vapor 15,Vaporsite+,Nike,Blast,Speed,Attack,Cristiano Ronaldo,€50 million
25,2,Bukayo Saka,7,23,178,England,"['Defender Left', 'Midfielder Centre', 'Midfielder Left', 'Midfielder Right']",47,3437,13,13,7,0,2.4,84.5,0.3,9,7.29,1.1,0.3,0.9,0.0,0.4,0.4,0.0,0,1.8,1.6,0.2,1.3,1.5,26.3,1.3,0.3,0.1,"['Crossing', 'Key passes', 'Taking set-pieces', 'Holding on to the ball', 'Passing', 'Finishing']",[],"['Likes to cut inside', 'Likes to play short passes', 'Gets fouled often', 'Likes to tackle']",bukayo saka,1679742361-3995,Arsenal,Premier League,Furon v7,Hypoknit,New Balance,,Speed,Attack,Bukayo Saka,€110 million
26,2,Declan Rice,41,26,188,England,"['Defender Centre', 'Defensive Midfielder C']",67,5198,11,14,9,1,1.3,91.0,1.0,6,7.19,1.7,0.9,0.6,0.0,1.2,0.5,0.3,0,1.5,0.4,0.0,0.8,0.9,48.0,1.1,1.6,0.0,"['Key passes', 'Taking set-pieces', 'Passing', 'Long shots']",[],[],declan rice,1679742361-3629,West Ham United,Premier League,Copa 20.1,Fusionskin,adidas,Precision To Blur,Control,Midfield,Paulo Dybala,€80 million
27,2,Kai Havertz,29,25,193,Germany,"['Midfielder Centre', 'Midfielder Right', 'Forward']",48,3361,21,6,7,0,2.6,81.7,2.3,2,7.12,0.8,0.2,1.5,0.0,1.1,0.3,0.1,0,0.8,1.1,0.6,1.2,1.7,23.2,0.1,0.1,0.0,"['Aerial Duels', 'Holding on to the ball']","['Offside awareness', 'Tackling']","['Likes to do layoffs', 'Likes to play short passes', 'Does not dive into tackles', 'Commits fouls often']",kai havertz,1679742361-4107,Chelsea,Premier League,Phantom GX DF,Gripknit,Nike,,Control,Midfield,Erling Haaland,€60 million
28,2,Thomas Partey,5,31,185,Ghana,"['Defender Right', 'Midfielder Centre', 'Midfielder Right']",55,3837,6,2,7,0,0.6,88.9,0.7,1,6.83,2.2,1.0,1.1,0.1,1.1,0.8,0.2,0,0.6,0.8,0.0,0.5,0.6,49.2,0.1,1.5,0.1,"['Passing', 'Holding on to the ball', 'Long shots', 'Tackling']",['Crossing'],['Likes to shoot from distance'],thomas partey,1679742361-3999,Arsenal,Premier League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,€38 million
29,2,Gabriel Magalhães,6,27,190,Brazil,['Defender Centre'],43,3385,5,1,6,0,0.8,90.3,2.0,0,6.84,0.7,0.5,0.7,0.3,3.0,0.1,0.9,0,0.3,0.6,0.0,0.1,0.3,56.4,0.0,1.7,0.0,"['Blocking the ball', 'Concentration']",[],['Likes to play short passes'],gabriel magalhães,1679742361-4007,Arsenal,Premier League,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,€50 million
30,2,Martin Ødegaard,8,26,178,Norway,"['Attacking Midfielder Centre', 'Attacking Midfielder Right']",51,3648,5,15,4,0,1.7,87.6,0.2,5,7.0,0.6,0.3,0.5,0.0,0.2,0.6,0.0,0,2.2,0.9,0.1,1.1,1.3,45.1,0.8,1.3,0.5,"['Through balls', 'Key passes', 'Passing', 'Concentration']","['Aerial Duels', 'Tackling']","['Likes to play short passes', 'Does not dive into tackles']",martin ødegaard,1679742361-4001,Arsenal,Premier League,Zoom Mercurial Vapor 15,Vaporsite+,Nike,Blast,Speed,Attack,Cristiano Ronaldo,€80 million
31,2,Leandro Trossard,19,30,172,Belgium,"['Midfielder Centre', 'Midfielder Left', 'Midfielder Right', 'Forward']",68,4034,13,9,4,1,1.8,80.0,0.2,3,6.72,0.7,0.2,0.7,0.0,0.3,0.6,0.0,0,1.0,1.1,0.2,1.2,1.7,22.7,0.4,0.9,0.1,"['Passing', 'Finishing']","['Aerial Duels', 'Defensive contribution']","['Likes to cut inside', 'Plays the ball off the ground often']",leandro trossard,1679742361-3992,Arsenal,Premier League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,€30 million
32,2,William Saliba,2,24,192,France,['Defender Centre'],62,5129,2,0,4,1,0.2,94.0,1.6,2,6.78,1.5,0.6,0.8,0.3,3.7,0.2,0.4,0,0.2,0.4,0.0,0.3,0.6,69.4,0.0,2.2,0.0,"['Passing', 'Concentration']",[],['Likes to play short passes'],william saliba,1679742361-4009,Arsenal,Premier League,Tiempo Legend 9,Kangaroo Leather,Nike,Generation,Modern C,Defence,Virgil van Dijk,€55 million
33,2,Gabriel Martinelli,11,23,178,Brazil,"['Attacking Midfielder Left', 'Attacking Midfielder Right', 'Forward']",60,3416,12,5,4,0,1.5,79.5,0.5,2,6.8,0.6,0.1,0.5,0.0,0.4,0.4,0.0,0,1.1,0.6,0.2,0.9,1.3,17.0,0.7,0.2,0.1,['Finishing'],['Defensive contribution'],"['Likes to dribble', 'Likes to play short passes', 'Does not dive into tackles']",gabriel martinelli,1679742361-3993,Arsenal,Premier League,X Speedportal+,Speedskin,adidas,Game Data,Speed,Attack,Lionel Messi,€70 million
34,2,Mikel Merino,8,28,189,Spain,"['Midfielder Centre', 'Forward']",54,2695,11,5,3,1,1.1,80.8,1.9,4,6.8,1.4,0.5,1.3,0.0,0.7,0.5,0.2,0,0.6,0.9,0.2,0.7,0.8,20.6,0.1,0.3,0.1,"['Aerial Duels', 'Headed attempts', 'Holding on to the ball', 'Tackling', 'Defensive contribution']",['Discipline'],"['Indirect set-piece threat', 'Gets fouled often', 'Likes to tackle', 'Commits fouls often']",mikel merino,1679742361-1340,Real Sociedad,La Liga,Copa Pure.1,Fusionskin,adidas,Own Your Football,Control,Midfield,Paulo Dybala,€50 million
36,2,David Raya,22,29,183,Spain,['Goalkeeper'],62,5310,0,0,6,0,0.0,70.9,0.4,3,6.76,0.0,0.1,0.0,0.0,0.6,0.0,0.0,0,0.0,0.2,0.0,0.0,0.0,32.0,0.0,5.0,0.0,"['Shot stopping (Reflexes)', 'Saving close range shots']",[],['Comes off his line often'],david raya,1679742361-3939,Brentford FC,Premier League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,€25 million
37,2,Riccardo Calafiori,33,23,188,Italy,"['Defender Centre', 'Defender Left']",35,1858,3,3,9,0,0.6,88.6,1.1,0,6.68,1.3,0.7,0.9,0.0,1.4,0.7,0.3,1,0.5,0.4,0.1,0.4,0.5,31.0,0.2,0.9,0.0,"['Aerial Duels', 'Passing', 'Holding on to the ball', 'Dribbling', 'Ball interception', 'Tackling']",['Crossing'],"['Likes to dribble', 'Likes to play short passes']",riccardo calafiori,1679742361-3454,Basel,Other League,Predator Accuracy.1 Low,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,€4 million
38,2,Ben White,4,27,186,England,"['Defender Centre', 'Defender Right', 'Defensive Midfielder C']",25,1442,0,1,3,0,0.4,86.3,0.8,0,6.47,0.9,0.8,0.6,0.2,1.7,0.8,0.4,0,0.4,0.3,0.0,0.4,0.5,30.0,0.1,1.0,0.0,"['Passing', 'Holding on to the ball', 'Blocking the ball']","['Tackling', 'Concentration']","['Likes to play short passes', 'Does not dive into tackles']",ben white,1679742361-4006,Arsenal,Premier League,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,€50 million
40,2,Gabriel Jesus,9,28,175,Brazil,"['Attacking Midfielder Left', 'Attacking Midfielder Right', 'Forward']",32,1165,7,2,7,0,1.6,82.0,0.6,2,6.78,0.7,0.3,0.9,0.0,0.4,0.4,0.0,0,0.7,0.5,0.5,1.0,1.4,15.1,0.1,0.1,0.0,"['Headed attempts', 'Key passes', 'Through balls', 'Dribbling', 'Holding on to the ball', 'Passing', 'Defensive contribution']","['Aerial Duels', 'Offside awareness', 'Crossing']","['Likes to cut inside', 'Likes to play short passes', 'Likes to tackle', 'Commits fouls often']",gabriel jesus,1679742361-3994,Arsenal,Premier League,Predator Accuracy.1 Low,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,€75 million
41,2,Jakub Kiwior,15,25,189,Poland,"['Defender Centre', 'Defender Left', 'Defensive Midfielder C']",41,2876,1,3,2,0,0.3,89.2,1.2,1,6.58,1.4,0.7,0.7,0.2,2.7,0.3,0.5,0,0.5,0.3,0.0,0.3,0.3,45.4,0.1,1.8,0.1,"['Passing', 'Holding on to the ball', 'Concentration']",[],['Likes to play short passes'],jakub kiwior,1679742361-4003,Arsenal,Premier League,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,€20 million
42,2,Takehiro Tomiyasu,18,26,187,Japan,"['Defender Centre', 'Defender Left', 'Defender Right']",3,6,0,0,0,0,1.0,75.0,0.0,0,6.46,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,['Aerial Duels'],"['Concentration', 'Discipline']",['Likes to play short passes'],takehiro tomiyasu,1679742361-4008,Arsenal,Premier League,DS Light X-Fly 4,Kangaroo Leather,Asics,,,,Takehiro Tomiyasu,€25 million
44,2,Oleksandr Zinchenko,17,28,175,Ukraine,"['Defender Left', 'Midfielder Centre', 'Midfielder Left', 'Midfielder Right']",33,1274,2,3,3,0,0.6,86.2,0.9,3,6.53,0.8,0.3,0.5,0.1,0.7,0.5,0.1,0,0.5,0.2,0.0,0.4,0.3,28.6,0.2,1.0,0.0,"['Passing', 'Key passes', 'Aerial Duels', 'Holding on to the ball', 'Tackling']",[],['Likes to tackle'],oleksandr zinchenko,1679742361-4010,Arsenal,Premier League,King Ultimate,K-Better,Puma,Supercharge,Heritage,,Oleksandr Zinchenko,€40 million
46,2,Raheem Sterling,30,30,172,England,"['Midfielder Centre', 'Midfielder Left', 'Midfielder Right', 'Forward']",27,1000,1,5,5,0,1.0,83.0,0.1,1,6.51,0.5,0.2,0.9,0.0,0.2,0.3,0.0,0,0.7,0.6,0.3,1.2,0.8,13.8,0.2,0.0,0.0,"['Direct free-kicks', 'Long shots']","['Passing', 'Aerial Duels', 'Crossing', 'Discipline']","['Likes to play short passes', 'Likes to dribble', 'Counter attack threat', 'Commits fouls often', 'Does not dive into tackles']",raheem sterling,1679742361-4098,Chelsea,Premier League,Furon v7,Hypoknit,New Balance,Rare Force,Speed,Attack,Bukayo Saka,€60 million
47,2,Kieran Tierney,3,27,178,Scotland,"['Defender Centre', 'Defender Left', 'Midfielder Left']",27,565,0,0,0,0,0.1,82.9,0.3,0,6.21,0.6,0.1,0.0,0.1,0.5,0.2,0.0,0,0.5,0.3,0.1,0.2,0.2,14.4,0.2,0.5,0.0,"['Holding on to the ball', 'Passing', 'Blocking the ball']","['Aerial Duels', 'Crossing']",[],kieran tierney,1679742361-4004,Arsenal,Premier League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,€25 million
48,2,Jorginho,20,33,180,Italy,['Defensive Midfielder C'],34,1556,1,0,6,0,0.2,88.4,0.2,0,6.35,1.1,0.5,0.6,0.0,0.3,0.8,0.0,0,0.3,0.8,0.0,0.4,0.5,41.9,0.0,1.5,0.2,"['Passing', 'Through balls']","['Tackling', 'Concentration']","['Likes to shoot from distance', 'Plays the ball off the ground often', 'Does not dive into tackles']",jorginho,1679742361-3998,Arsenal,Premier League,Future Ultimate,FUZIONFIT360,Puma,Supercharge,Control,,Neymar,€35 million
50,3,Alexander Isak,14,25,192,Sweden,"['Attacking Midfielder Left', 'Forward']",49,3527,32,7,2,0,3.1,76.5,0.7,8,7.44,0.3,0.1,0.8,0.0,0.5,0.3,0.1,0,1.5,0.5,0.6,1.5,2.1,19.9,0.1,0.5,0.1,"['Finishing', 'Dribbling', 'Long shots', 'Key passes']",['Defensive contribution'],"['Likes to dribble', 'Does not dive into tackles']",alexander isak,1679742361-3710,Newcastle United,Premier League,X Speedportal.1,Speedskin,adidas,Al Rihla,Speed,Attack,Lionel Messi,€50 million
51,3,Jacob Murphy,23,30,179,England,"['Defender Right', 'Midfielder Left', 'Midfielder Right']",40,2610,9,14,4,0,1.3,75.5,0.2,3,7.06,0.8,0.3,0.3,0.1,0.8,0.7,0.0,0,1.2,0.4,0.1,1.0,0.8,22.7,0.6,0.7,0.1,"['Key passes', 'Finishing']",['Aerial Duels'],"['Likes to shoot from distance', 'Does not dive into tackles']",jacob murphy,1679742361-3705,Newcastle United,Premier League,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,€10 million
52,3,Bruno Guimarães,39,27,182,Brazil,['Defensive Midfielder C'],67,3980,5,7,14,0,1.2,84.0,0.5,0,6.99,2.2,0.7,1.7,0.1,1.0,0.9,0.2,0,1.2,2.8,0.1,1.8,1.4,45.1,0.1,2.4,0.3,"['Dribbling', 'Passing', 'Through balls', 'Key passes']",[],"['Gets fouled often', 'Likes to play long balls', 'Plays the ball off the ground often']",bruno guimarães,1679742361-3718,Newcastle United,Premier League,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,€60 million
53,3,Lewis Hall,20,20,179,England,"['Defender Left', 'Midfielder Left']",36,2806,0,4,4,0,0.5,84.9,0.9,2,6.94,2.0,0.7,0.4,0.2,2.0,1.2,0.6,0,1.2,0.7,0.0,0.7,1.1,46.7,1.1,1.8,0.0,"['Crossing', 'Blocking the ball', 'Taking set-pieces', 'Passing', 'Key passes']",[],"['Likes to cross', 'Likes to play long balls', 'Likes to tackle']",lewis hall,1679742361-4109,Chelsea,Premier League,Zoom Mercurial Vapor 15,Vaporsite+,Nike,Blast,Speed,Attack,Cristiano Ronaldo,€8 million
54,3,Joelinton,7,28,186,Brazil,"['Attacking Midfielder Centre', 'Attacking Midfielder Left', 'Attacking Midfielder Right', 'Forward']",42,2904,4,3,13,1,1.5,84.3,2.0,3,6.94,1.9,0.8,1.9,0.1,1.7,0.7,0.3,0,0.8,1.2,0.2,1.7,1.4,34.7,0.1,0.6,0.1,"['Through balls', 'Defensive contribution', 'Blocking the ball']","['Crossing', 'Discipline']","['Likes to do layoffs', 'Likes to play short passes', 'Commits fouls often']",joelinton,1679742361-3717,Newcastle United,Premier League,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,€38 million
55,3,Anthony Gordon,10,24,183,England,"['Attacking Midfielder Centre', 'Attacking Midfielder Left', 'Attacking Midfielder Right', 'Forward']",51,3165,10,6,4,1,1.7,83.1,0.2,2,6.87,0.9,0.2,0.8,0.0,0.2,0.7,0.1,0,1.4,1.7,0.2,1.0,1.1,23.1,0.9,0.6,0.1,"['Holding on to the ball', 'Key passes', 'Through balls', 'Crossing', 'Finishing', 'Taking set-pieces']",['Discipline'],"['Gets fouled often', 'Likes to cross', 'Likes to tackle']",anthony gordon,1679742361-3708,Newcastle United,Premier League,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,€40 million
56,3,Martin Dúbravka,1,36,190,Slovakia,['Goalkeeper'],27,2086,0,0,2,0,0.0,70.0,0.6,1,6.94,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,29.3,0.0,3.7,0.0,[],['Long passing'],[],martin dúbravka,1679742361-3731,Newcastle United,Premier League,Tiempo Legend 9,Kangaroo Leather,Nike,,Modern C,Defence,Virgil van Dijk,€3 million
57,3,Dan Burn,33,33,198,England,"['Defender Centre', 'Defender Left', 'Midfielder Left']",46,3830,2,1,12,0,0.6,88.3,3.8,1,6.9,1.1,0.6,0.8,0.2,5.2,0.4,0.7,2,0.3,0.3,0.1,0.1,0.5,50.6,0.0,1.4,0.0,"['Aerial Duels', 'Concentration']","['Crossing', 'Tackling']","['Indirect set-piece threat', 'Likes to play short passes', 'Clears the ball out of defence often', 'Does not dive into tackles']",dan burn,1679742361-3726,Newcastle United,Premier League,Phantom GX,Gripknit,Nike,Blast,Control,Midfield,Erling Haaland,€12 million
58,3,Sandro Tonali,8,25,181,Italy,['Defensive Midfielder C'],46,3209,7,3,6,0,1.1,85.2,0.3,3,6.87,1.4,1.0,1.0,0.0,1.0,0.7,0.4,0,0.7,1.3,0.0,0.7,0.9,38.5,0.3,1.3,0.0,"['Long shots', 'Concentration', 'Blocking the ball']",['Tackling'],['Does not dive into tackles'],sandro tonali,1679742361-4609,AC Milan,Serie A,Tiempo Legend 9,Kangaroo Leather,Nike,,Modern C,Defence,Virgil van Dijk,€50 million
